date_sent,slot,item_type,track,title,source_url,arxiv_or_doi,topic_tags,quality_label
2026-05-23,1,paper,mean_audio,Live Music Diffusion Models: Efficient Fine-Tuning and Post-Training of Interactive Diffusion Music Generators,https://arxiv.org/abs/2605.22717v1,2605.22717v1,text-to-audio/music,新且重要
2026-05-23,2,paper,mean_audio,"Academic Text-to-Music Grand Challenge: Datasets, Baselines, and Evaluation Methods",https://arxiv.org/abs/2605.21538v1,2605.21538v1,text-to-audio/music|caption/data|evaluation,新且重要
2026-05-23,1,paper,mean_audio,RobustSpeechFlow: Learning Robust Text-to-Speech Trajectories via Augmentation-based Contrastive Flow Matching,https://arxiv.org/abs/2605.22083v1,2605.22083v1,text-to-audio/music|flow/diffusion,新
2026-05-23,2,paper,mean_audio,Instrumental Text-to-Music Generation with Auxiliary Conditioning Branches,https://arxiv.org/abs/2605.21433v1,2605.21433v1,text-to-audio/music,新
2026-05-27,1,paper,mean_audio,Adversarial Dual On-Policy Distillation from Expressive Flow-based Teacher,https://arxiv.org/abs/2605.27095v1,2605.27095v1,text-to-audio/music|flow/diffusion,新
2026-05-27,2,paper,mean_audio,JLT: Clean-Latent Prediction in Latent Diffusion Transformers,https://arxiv.org/abs/2605.27102v1,2605.27102v1,text-to-audio/music|flow/diffusion,新
2026-05-29,1,paper,mean_audio,Alignment-Guided Score Matching for Text-to-Image Alignment in Diffusion Models,https://arxiv.org/abs/2605.30038v1,2605.30038v1,text-to-audio/music,新
2026-05-29,2,paper,mean_audio,LoSATok: Low-dimensional Semantic-Acoustic Tokenizer for Cross-Domain Audio Understanding and Generation,https://arxiv.org/abs/2605.27840v1,2605.27840v1,text-to-audio/music,新
2026-05-30,1,paper,mean_audio,Khala: Scaling Acoustic Token Language Models Toward High-Fidelity Music Generation,https://arxiv.org/abs/2605.01790v1,2605.01790v1,text-to-audio/music,待觀察
2026-05-30,2,paper,mean_audio,AdaState: Self-Evolving Anchors for Streaming Video Generation,https://arxiv.org/abs/2605.30349v1,2605.30349v1,text-to-audio/music,新
2026-05-30,1,paper,mean_audio,Benchmarking Single-Factor Physical Video-to-Audio Generation,https://arxiv.org/abs/2605.30339v1,2605.30339v1,text-to-audio/music|caption/data|evaluation,新
2026-05-30,2,paper,mean_audio,COMET: Concept Space Dissection of the Modality Gap in Audio-Text Multimodal Contrastive Embeddings,https://arxiv.org/abs/2605.29628v1,2605.29628v1,text-to-audio/music|caption/data,新
2026-05-31,1,paper,karaoke_jp,SongPrep: A Preprocessing Framework and End-to-end Model for Full-song Structure Parsing and Lyrics Transcription,https://arxiv.org/abs/2509.17404v1,2509.17404v1,lyrics recognition|karaoke-jp,重要
2026-05-31,2,paper,karaoke_jp,IdolSongsJp Corpus: A Multi-Singer Song Corpus in the Style of Japanese Idol Groups,https://arxiv.org/abs/2507.01349v1,2507.01349v1,JPOP|karaoke-jp,重要
2026-06-02,1,paper,mean_audio,Music Flamingo: Scaling Music Understanding in Audio Language Models,https://arxiv.org/abs/2511.10289v1,2511.10289v1,Music Flamingo|text-to-audio/music|caption/data|karaoke-jp,重要
2026-06-02,2,paper,mean_audio,Assessing Factual Music Comprehension in Large Audio Language Models,https://arxiv.org/abs/2511.05550v2,2511.05550v2,Music Flamingo|text-to-audio/music|karaoke-jp|evaluation,新且重要
